#FORMAT=WebAnno TSV 3.1


#Text=Your article 'As technology marches'. . . mirrors my own emotional / psychological experience of technology.How do you put AC Milan, Chelsea FC &amp; Vancouver Canucks in the same sentence?
1-1	0-4	Your	
5-20	840-853	Psychologists	
5-21	853-854	,	
5-22	855-858	who	
5-23	859-862	are	
5-24	863-867	MOST	
5-25	868-886	newsworthy.Lindsay	
5-26	887-889	is	
5-27	890-898	Canadian	
5-28	899-902	and	
5-29	903-906	the	
5-30	907-911	Head	
5-31	912-914	of	
5-32	915-920	Sport	
5-33	921-937	Psychophysiology	
5-34	938-941	for	
5-35	942-945	the	
5-36	946-950	USOC	
5-37	950-951	!	

#Text=https://www.youtube.com/watch?
6-1	952-957	https	
6-2	957-958	:	
6-3	958-959	/	
6-4	959-960	/	
6-5	960-975	www.youtube.com	
6-6	975-976	/	
6-7	976-981	watch	
6-8	981-982	?	

#Text=v=IHMO91TvY2YDr.
7-1	982-983	v	
7-2	983-984	=	
7-3	984-997	IHMO91TvY2YDr	
7-4	997-998	.	

#Text=Penny Werthner was the Head of Sport Psych at U of Ottawa, and this year became the Head of Kinesiology at University of Calgary.Both are gifted, with Gold Medal Results.
8-1	999-1004	Penny	
8-2	1005-1013	Werthner	
8-3	1014-1017	was	
8-4	1018-1021	the	
8-5	1022-1026	Head	
8-6	1027-1029	of	
8-7	1030-1035	Sport	
8-8	1036-1041	Psych	
8-9	1042-1044	at	
8-10	1045-1046	U	
8-11	1047-1049	of	
8-12	1050-1056	Ottawa	
8-13	1056-1057	,	
8-14	1058-1061	and	
8-15	1062-1066	this	
8-16	1067-1071	year	
8-17	1072-1078	became	
8-18	1079-1082	the	
8-19	1083-1087	Head	
8-20	1088-1090	of	
8-21	1091-1102	Kinesiology	
8-22	1103-1105	at	
8-23	1106-1116	University	
8-24	1117-1119	of	
8-25	1120-1132	Calgary.Both	
8-26	1133-1136	are	
8-27	1137-1143	gifted	
8-28	1143-1144	,	
8-29	1145-1149	with	
8-30	1150-1154	Gold	
8-31	1155-1160	Medal	
8-32	1161-1168	Results	
8-33	1168-1169	.	

#Text=They are the pinnacle of Sport Psychology, and are at the Vatican University, showing Canadian Accomplishment!
9-1	1170-1174	They	
9-2	1175-1178	are	
9-3	1179-1182	the	
9-4	1183-1191	pinnacle	
9-5	1192-1194	of	
9-6	1195-1200	Sport	
9-7	1201-1211	Psychology	
9-8	1211-1212	,	
9-9	1213-1216	and	
9-10	1217-1220	are	
9-11	1221-1223	at	
9-12	1224-1227	the	
9-13	1228-1235	Vatican	
9-14	1236-1246	University	
9-15	1246-1247	,	
9-16	1248-1255	showing	
9-17	1256-1264	Canadian	
9-18	1265-1279	Accomplishment	
9-19	1279-1280	!	

#Text=Sincerely yours,Lawrencehttp://www.thoughttechnology.com/blog/wp/?
10-1	1280-1289	Sincerely	
10-2	1290-1295	yours	
10-3	1295-1296	,	
10-4	1296-1308	Lawrencehttp	
10-5	1308-1309	:	
10-6	1309-1310	/	
10-7	1310-1311	/	
10-8	1311-1336	www.thoughttechnology.com	
10-9	1336-1337	/	
10-10	1337-1341	blog	
10-11	1341-1342	/	
10-12	1342-1344	wp	
10-13	1344-1345	/	
10-14	1345-1346	?	

#Text=works-categories=sportshttp://www.thoughttechnology.com/blog/wp/?
11-1	1346-1362	works-categories	
11-2	1362-1363	=	
11-3	1363-1373	sportshttp	
11-4	1373-1374	:	
11-5	1374-1375	/	
11-6	1375-1376	/	
11-7	1376-1401	www.thoughttechnology.com	
11-8	1401-1402	/	
11-9	1402-1406	blog	
11-10	1406-1407	/	
11-11	1407-1409	wp	
11-12	1409-1410	/	
11-13	1410-1411	?	

#Text=works-categories=medicalhttp://www.thoughttechnology.com/blog/wp/?
12-1	1411-1427	works-categories	
12-2	1427-1428	=	
12-3	1428-1439	medicalhttp	
12-4	1439-1440	:	
12-5	1440-1441	/	
12-6	1441-1442	/	
12-7	1442-1467	www.thoughttechnology.com	
12-8	1467-1468	/	
12-9	1468-1472	blog	
12-10	1472-1473	/	
12-11	1473-1475	wp	
12-12	1475-1476	/	
12-13	1476-1477	?	

#Text=works-categories=consumer
13-1	1477-1493	works-categories	
13-2	1493-1494	=	
13-3	1494-1502	consumer	
